Condition,Description,Recovery Steps
Psoriasis,"Psoriasis is a chronic autoimmune condition characterized by the rapid buildup of skin cells, leading to red, itchy, and scaly patches on the skin.","['Consult dermatologist: Seek professional medical advice for diagnosis and treatment options.', 'Topical treatments: Apply corticosteroids, vitamin D analogs, or retinoids to affected areas.', 'Phototherapy: Expose the skin to controlled amounts of natural or artificial ultraviolet light.', 'Systemic medications: Use oral or injected medications to suppress the immune response and reduce inflammation.']"
Varicose Veins,"Varicose veins are enlarged, twisted veins that often appear blue or dark purple and usually occur in the legs.","['Compression stockings: Wear compression stockings to improve blood flow and reduce swelling.', 'Exercise: Engage in low-impact exercises like walking or swimming to improve circulation.', 'Elevate legs: Keep legs elevated when resting to reduce swelling.', 'Sclerotherapy: Inject a solution into the affected veins to shrink them.', 'Surgery: Undergo surgical procedures like vein stripping or laser therapy for severe cases.']"
Typhoid,"Typhoid fever is a bacterial infection caused by Salmonella typhi, typically spread through contaminated food or water.","['Antibiotics: Take prescribed antibiotics to kill the Salmonella bacteria.', 'Rest: Get plenty of rest to help the body recover.', 'Hydration: Drink fluids to prevent dehydration.', 'Soft diet: Eat easily digestible foods to minimize discomfort.', 'Follow-up tests: Undergo follow-up tests to ensure complete recovery and absence of the bacteria.']"
Chicken Pox,Chicken pox is a highly contagious viral infection characterized by itchy red spots and fluid-filled blisters on the skin.,"['Antiviral medications: Take antiviral drugs to reduce the severity and duration of symptoms.', 'Oatmeal baths: Soak in oatmeal baths to relieve itching and soothe the skin.', 'Calamine lotion: Apply calamine lotion to affected areas to alleviate itching.', 'Rest: Get plenty of rest to support the immune system.', 'Avoid scratching: Prevent scarring and secondary infections by avoiding scratching the blisters.']"
Impetigo,Impetigo is a bacterial skin infection characterized by red sores or blisters that rupture and form yellowish crusts.,"['Antibiotic ointment: Apply antibiotic ointment to affected areas to kill the bacteria.', 'Warm compress: Apply warm, moist compresses to gently remove crusts and promote healing.', 'Gentle cleansing: Cleanse the affected areas with mild soap and water to prevent spread of infection.', 'Oral antibiotics: Take oral antibiotics in severe cases or if the infection has spread.']"
Dengue,"Dengue is a mosquito-borne viral infection that causes flu-like symptoms, including high fever, severe headache, joint and muscle pain, and rash.","['Rest: Get plenty of rest to help the body fight the infection.', 'Hydration: Drink plenty of fluids, such as water, electrolyte solutions, or coconut water, to prevent dehydration.', 'Pain relievers: Take acetaminophen (paracetamol) to reduce fever and relieve pain. Avoid nonsteroidal anti-inflammatory drugs (NSAIDs) like ibuprofen and aspirin, as they can increase the risk of bleeding.', 'Hospitalization: Seek medical care if symptoms worsen or if warning signs of severe dengue develop. Hospitalization may be necessary for close monitoring and supportive care.']"
Fungal Infection,"Fungal infections are caused by fungi and can affect the skin, nails, or internal organs. Common types include athlete's foot, ringworm, and vaginal yeast infections.","['Antifungal medications: Use antifungal creams, ointments, or oral medications to treat the infection.', 'Keep the affected area clean and dry: Practice good hygiene by washing the affected area with soap and water and keeping it dry.', 'Avoid sharing personal items: Prevent the spread of fungal infections by avoiding sharing towels, clothes, or other personal items with infected individuals.']"
Common Cold,"The common cold is a viral infection of the upper respiratory tract that causes symptoms such as runny or stuffy nose, sore throat, cough, sneezing, and mild fever.","['Rest: Get plenty of rest to help the body recover.', 'Hydration: Drink fluids such as water, herbal tea, or clear broth to stay hydrated and soothe a sore throat.', 'Over-the-counter cold medications: Take over-the-counter medications such as decongestants, antihistamines, or pain relievers to relieve symptoms.']"
Pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs, leading to symptoms such as cough, fever, chills, and difficulty breathing.","['Antibiotics: Take prescribed antibiotics to treat bacterial pneumonia. Viral pneumonia may not respond to antibiotics.', 'Rest: Get plenty of rest to help the body recover and conserve energy.', 'Hydration: Drink plenty of fluids to prevent dehydration and loosen mucus in the lungs.', 'Breathing exercises: Practice deep breathing exercises to improve lung function and prevent complications like pneumonia.']"
Dimorphic Hemorrhoids,"Dimorphic hemorrhoids, also known as piles, are swollen veins in the lower rectum and anus that can cause discomfort, pain, itching, and bleeding.","['Over-the-counter creams or ointments: Apply topical treatments containing hydrocortisone or witch hazel to reduce swelling and relieve symptoms.', 'Warm baths: Soak in warm water for 10 to 15 minutes several times a day to alleviate discomfort and promote healing.', 'High-fiber diet: Eat foods rich in fiber to soften stools and reduce straining during bowel movements.', 'Increased water intake: Drink plenty of water to stay hydrated and prevent constipation.', 'Avoid straining during bowel movements: Use gentle wiping motions and avoid prolonged sitting on the toilet to reduce pressure on hemorrhoids.']"
Arthritis,"Arthritis refers to inflammation of one or more joints, leading to pain, stiffness, swelling, and reduced range of motion. Common types include osteoarthritis and rheumatoid arthritis.","['Medications: Take medications such as pain relievers, corticosteroids, DMARDs, or biologic agents to reduce pain and inflammation, slow down joint damage, and improve function.', 'Physical therapy: Engage in exercises and physical therapy to strengthen muscles, improve joint flexibility, and enhance overall function and mobility.', 'Joint protection techniques: Learn and practice joint protection techniques to reduce strain on affected joints during daily activities.', 'Surgery: Consider surgical options such as joint repair, joint replacement, or arthroscopy for severe arthritis that does not respond to conservative treatments.']"
